Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
YR5m5JX8,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,27/04/2026,14:00,Round 31,Chaves,Oliveirense,2,1,"[47, 88]",[63],bet365,2.25,2.25,5.0,bet365,1.65,3.4,4.75,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.83,1.83,bet365,1.17,1.29,2.1,bet365,10.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,7.0,bet365,7.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,5.9,1.13,bet365,5.0,1.17,bet365,2.85,1.4,bet365,2.25,1.63,bet365,1.7,2.1,bet365,1.18,4.65,1xBet.br,1.02,8.9,Superbet.br,1.03,10.0,,0.0,0.0,,0.0,0.0,bet365,13.0,8.5,1.11,bet365,6.0,5.0,1.4,bet365,2.88,3.75,2.1,bet365,1.17,7.0,12.0,bet365,1.04,15.0,29.0,BetEsporte,1.01,11.0,40.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,13.0,8.0,8.0,6.0,5.0,2.0,,,,,,,,,,,,,5.0,6.0,12.0,12.0,26.0,15.0,11.0,9.0,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,0.59,0.41,7.0,3.0,3.0,2.0,4.0,1.0,,,3.0,1.0,1.0,1.0,7.0,5.0,1.0,2.0,,,,,,,,,0.49,0.51,6.0,5.0,5.0,4.0,1.0,1.0,,,2.0,5.0,1.0,0.0,,,4.0,4.0,0.0,1.0,,
ptt2AE9l,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,01/05/2026,16:30,Round 32,Sporting CP B,Benfica B,0,1,[],[62],bet365,3.4,2.2,3.1,bet365,2.7,3.0,2.45,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.67,2.1,bet365,1.5,1.33,1.4,bet365,10.0,bet365,9.5,bet365,13.0,bet365,23.0,bet365,10.0,bet365,6.0,bet365,10.0,bet365,21.0,bet365,15.0,bet365,11.0,bet365,12.0,bet365,29.0,bet365,29.0,bet365,21.0,bet365,29.0,bet365,41.0,,0.0,0.0,1xBet.br,10.0,1.01,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,1.5,2.5,bet365,1.23,4.1,bet365,1.17,5.0,1xBet.br,1.02,9.2,Superbet.br,1.03,10.0,BetEsporte,26.0,11.0,1.02,bet365,13.0,8.0,1.13,bet365,5.5,4.75,1.4,bet365,1.5,4.5,5.0,bet365,1.14,7.5,11.0,bet365,1.04,17.0,29.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,6.0,12.0,4.0,5.0,2.0,7.0,,,,,,,,,,,,,2.0,3.0,23.0,18.0,16.0,29.0,16.0,23.0,3.0,6.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,0.47,0.53,2.0,6.0,2.0,1.0,0.0,5.0,,,0.0,1.0,0.0,1.0,8.0,13.0,1.0,0.0,,,,,,,,,0.55,0.45,4.0,6.0,2.0,4.0,2.0,2.0,,,2.0,2.0,3.0,5.0,1.0,0.0,8.0,10.0,1.0,0.0,,
tSP4UZ0K,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,01/05/2026,11:30,Round 32,Maritimo,Leixoes,3,2,"[10, 22, 51]","[18, 82]",bet365,2.88,2.1,4.0,bet365,2.1,3.0,3.25,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.3,1.33,1.62,bet365,8.5,bet365,9.5,bet365,17.0,bet365,34.0,bet365,7.0,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.5,bet365,15.0,bet365,41.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,Superbet.br,8.6,1.04,1xBet.br,6.78,1.09,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.15,1.68,bet365,1.33,3.3,bet365,1.12,6.4,Superbet.br,1.07,6.7,,0.0,0.0,,0.0,0.0,bet365,26.0,15.0,1.05,bet365,10.0,6.5,1.2,bet365,4.33,4.0,1.62,bet365,1.3,5.0,7.5,bet365,1.08,11.0,19.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,4.0,9.0,3.0,5.0,1.0,4.0,,,,,,,,,,,,,2.0,1.0,17.0,19.0,19.0,25.0,15.0,13.0,3.0,5.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,0.53,0.47,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,0.0,3.0,4.0,6.0,1.0,3.0,,,,,,,,,0.57,0.43,1.0,7.0,1.0,4.0,0.0,3.0,,,1.0,0.0,3.0,2.0,,,11.0,7.0,2.0,0.0,,
WxGSeFfe,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,28/04/2026,14:00,Round 31,Feirense,Torreense,0,0,[],[],bet365,4.5,2.1,2.63,bet365,3.6,3.2,1.9,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.0,1.73,bet365,1.8,1.33,1.25,bet365,8.5,bet365,6.5,bet365,8.5,bet365,17.0,bet365,9.5,bet365,6.5,bet365,9.0,bet365,17.0,bet365,19.0,bet365,13.0,bet365,17.0,bet365,34.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,51.0,,0.0,0.0,,0.0,0.0,Superbet.br,7.8,1.05,bet365,7.0,1.1,bet365,3.7,1.26,bet365,1.83,1.98,bet365,1.4,2.85,bet365,1.26,3.7,1xBet.br,1.09,7.4,Superbet.br,1.05,7.8,BetEsporte,40.0,11.0,1.01,bet365,26.0,13.0,1.06,bet365,9.5,5.5,1.25,bet365,1.8,3.75,3.75,bet365,1.25,6.0,8.5,bet365,1.06,12.0,21.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,5.0,4.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,5.0,4.0,13.0,16.0,25.0,20.0,14.0,10.0,2.0,4.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,0.41,0.59,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,2.0,,,7.0,3.0,0.0,0.0,,,,,,,,,0.59,0.41,4.0,3.0,1.0,1.0,3.0,2.0,,,4.0,2.0,2.0,4.0,,,7.0,7.0,2.0,0.0,,
ELXI6W8D,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,02/05/2026,07:00,Round 32,Oliveirense,Lusitania FC,0,0,[],[],bet365,2.75,2.2,3.75,bet365,2.05,3.4,3.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.33,1.29,1.67,bet365,11.0,bet365,10.0,bet365,17.0,bet365,34.0,bet365,8.0,bet365,7.0,bet365,11.0,bet365,26.0,bet365,11.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,19.0,bet365,17.0,bet365,26.0,bet365,41.0,Superbet.br,8.2,1.05,1xBet.br,7.34,1.07,bet365,4.1,1.23,bet365,3.3,1.33,bet365,2.1,1.7,bet365,1.38,3.0,bet365,1.14,5.75,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,bet365,21.0,13.0,1.06,bet365,9.0,6.0,1.22,bet365,4.0,4.0,1.67,bet365,1.33,5.0,7.0,bet365,1.09,9.5,17.0,BetEsporte,1.01,11.0,29.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,12.0,6.0,3.0,1.0,9.0,5.0,,,,,,,,,,,,,4.0,6.0,22.0,14.0,21.0,26.0,11.0,21.0,2.0,1.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,0.55,0.45,7.0,3.0,1.0,1.0,6.0,2.0,,,2.0,4.0,1.0,1.0,5.0,11.0,1.0,0.0,,,,,,,,,0.53,0.47,5.0,3.0,2.0,0.0,3.0,3.0,,,2.0,2.0,1.0,0.0,,,6.0,10.0,2.0,0.0,,
SOaVFznR,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,03/05/2026,11:30,Round 32,Leiria,SC Farense,0,3,[],"[40, 60, 90]",bet365,2.4,2.2,4.75,bet365,1.75,3.3,4.33,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.18,1.3,1.91,bet365,9.5,bet365,12.0,bet365,23.0,bet365,51.0,bet365,7.0,bet365,6.5,bet365,15.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,15.0,bet365,15.0,bet365,29.0,bet365,51.0,bet365,6.8,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,2.42,1.53,bet365,1.78,2.03,bet365,1.21,4.25,1xBet.br,1.07,7.34,Superbet.br,1.04,9.4,,0.0,0.0,,0.0,0.0,bet365,15.0,10.0,1.09,bet365,6.5,5.0,1.33,bet365,3.2,3.75,1.91,bet365,1.18,6.5,11.0,bet365,1.05,15.0,29.0,BetEsporte,1.01,11.0,40.0,,,,,,,,,,,0.46,0.54,,,,,,,,,,,11.0,10.0,6.0,5.0,5.0,5.0,,,,,,,,,,,,,2.0,6.0,12.0,14.0,27.0,14.0,13.0,12.0,4.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.49,0.51,2.0,4.0,2.0,3.0,0.0,1.0,,,1.0,3.0,2.0,1.0,6.0,6.0,0.0,0.0,,,,,,,,,0.43,0.57,9.0,6.0,4.0,2.0,5.0,4.0,,,1.0,3.0,2.0,1.0,1.0,0.0,7.0,6.0,1.0,0.0,,
tdi0J9hJ,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,03/05/2026,10:00,Round 32,Pacos Ferreira,Feirense,1,2,[26],"[6, 10]",bet365,2.75,2.1,4.0,bet365,2.0,3.25,3.2,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.3,3.4,bet365,2.03,1.78,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.33,1.3,1.67,bet365,9.5,bet365,10.0,bet365,17.0,bet365,41.0,bet365,7.5,bet365,6.5,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,19.0,bet365,17.0,bet365,29.0,bet365,51.0,Superbet.br,8.1,1.05,bet365,7.0,1.1,bet365,3.9,1.24,bet365,3.1,1.35,bet365,2.08,1.73,bet365,1.33,3.3,bet365,1.12,6.4,Superbet.br,1.06,7.1,,0.0,0.0,,0.0,0.0,bet365,23.0,13.0,1.06,bet365,9.0,6.0,1.22,bet365,4.0,4.0,1.67,bet365,1.33,5.0,7.5,bet365,1.07,11.0,21.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,6.0,12.0,5.0,6.0,1.0,6.0,,,,,,,,,,,,,15.0,6.0,21.0,12.0,21.0,30.0,11.0,19.0,2.0,8.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.39,0.61,2.0,5.0,2.0,4.0,0.0,1.0,,,6.0,5.0,1.0,1.0,6.0,7.0,1.0,1.0,,,,,,,,,0.54,0.46,4.0,7.0,3.0,2.0,1.0,5.0,,,9.0,1.0,1.0,7.0,,,5.0,12.0,0.0,0.0,,
8rghLVN6,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,03/05/2026,07:00,Round 32,Portimonense,Chaves,3,2,"[7, 21, 90]","[11, 25]",bet365,3.5,2.1,3.1,bet365,2.75,3.1,2.3,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,9.5,bet365,1.3,3.4,bet365,2.03,1.78,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.53,1.33,1.36,bet365,9.5,bet365,8.0,bet365,12.0,bet365,23.0,bet365,9.0,bet365,6.5,bet365,9.5,bet365,21.0,bet365,15.0,bet365,11.0,bet365,15.0,bet365,29.0,bet365,29.0,bet365,23.0,bet365,34.0,bet365,51.0,Superbet.br,12.0,1.02,1xBet.br,9.7,1.01,bet365,6.0,1.13,bet365,5.25,1.16,bet365,2.85,1.4,bet365,1.58,2.35,bet365,1.25,3.8,bet365,1.18,4.65,1xBet.br,1.04,9.62,Superbet.br,1.03,9.4,Betano.br,29.0,13.5,1.04,bet365,15.0,8.5,1.1,bet365,6.0,4.75,1.36,bet365,1.53,4.0,4.75,bet365,1.17,7.0,11.0,bet365,1.04,15.0,26.0,,,,,,,,,,,0.51,0.49,,,,,,,,,,,8.0,10.0,7.0,7.0,1.0,3.0,,,,,,,,,,,,,7.0,8.0,20.0,19.0,22.0,17.0,14.0,15.0,2.0,2.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,0.5,0.5,4.0,8.0,4.0,6.0,0.0,2.0,,,5.0,4.0,0.0,1.0,7.0,6.0,2.0,0.0,,,,,,,,,0.52,0.48,4.0,2.0,3.0,1.0,1.0,1.0,,,2.0,4.0,2.0,1.0,,,7.0,9.0,1.0,2.0,,
IgvA8hv1,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,02/05/2026,10:00,Round 32,Academico Viseu,Vizela,0,0,[],[],bet365,2.63,2.2,4.0,bet365,1.91,3.1,3.6,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.25,1.33,1.73,bet365,10.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,7.5,bet365,6.5,bet365,13.0,bet365,29.0,bet365,9.5,bet365,9.0,bet365,15.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,26.0,bet365,51.0,Superbet.br,7.3,1.06,bet365,7.0,1.1,bet365,3.7,1.26,bet365,2.85,1.4,bet365,2.0,1.8,bet365,1.27,3.55,bet365,1.1,7.0,Superbet.br,1.06,7.6,,0.0,0.0,,0.0,0.0,bet365,21.0,12.0,1.07,bet365,8.0,6.0,1.25,bet365,3.75,3.75,1.73,bet365,1.25,5.5,8.5,bet365,1.06,12.0,21.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.48,0.52,,,,,,,,,,,12.0,4.0,5.0,1.0,7.0,3.0,,,,,,,,,,,,,2.0,6.0,14.0,17.0,26.0,17.0,16.0,12.0,4.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.39,0.61,4.0,1.0,2.0,0.0,2.0,1.0,,,1.0,4.0,2.0,1.0,9.0,2.0,0.0,0.0,,,,,,,,,0.57,0.43,8.0,3.0,3.0,1.0,5.0,2.0,,,1.0,2.0,2.0,2.0,,,7.0,10.0,1.0,1.0,,
Qa1yPDOs,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,04/05/2026,14:00,Round 32,FC Porto B,Felgueiras,1,0,[43],[],bet365,4.33,2.05,2.88,bet365,3.3,3.0,2.05,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.3,1.6,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.0,1.73,bet365,1.67,1.33,1.3,bet365,7.5,bet365,6.5,bet365,9.5,bet365,19.0,bet365,9.0,bet365,6.0,bet365,9.5,bet365,19.0,bet365,17.0,bet365,13.0,bet365,17.0,bet365,34.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,bet365,7.0,1.1,bet365,7.0,1.1,bet365,3.45,1.3,bet365,1.73,2.08,bet365,1.33,3.3,bet365,1.22,4.15,1xBet.br,1.08,7.16,Superbet.br,1.04,8.4,BetEsporte,35.0,11.0,1.01,bet365,23.0,11.0,1.06,bet365,8.5,5.0,1.3,bet365,1.67,3.75,4.33,bet365,1.2,6.5,10.0,bet365,1.05,15.0,26.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,4.0,10.0,2.0,3.0,2.0,7.0,,,,,,,,,,,,,1.0,9.0,15.0,16.0,23.0,14.0,13.0,14.0,5.0,4.0,0.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,0.58,0.42,3.0,4.0,2.0,1.0,1.0,3.0,,,1.0,2.0,2.0,1.0,7.0,6.0,1.0,0.0,,,,,,,,,0.41,0.59,1.0,6.0,0.0,2.0,1.0,4.0,,,0.0,7.0,3.0,3.0,0.0,1.0,6.0,8.0,2.0,1.0,,
CGaqNigf,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,04/05/2026,14:00,Round 32,Torreense,Penafiel,3,2,"[14, 21, 37]","[34, 45]",bet365,2.5,2.1,4.5,bet365,1.83,3.2,3.8,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.22,1.33,1.8,bet365,9.0,bet365,11.0,bet365,21.0,bet365,41.0,bet365,7.0,bet365,6.5,bet365,15.0,bet365,34.0,bet365,8.5,bet365,9.0,bet365,15.0,bet365,41.0,bet365,15.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,7.0,1.1,bet365,6.6,1.11,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.88,1.93,bet365,1.24,3.9,1xBet.br,1.06,8.26,Superbet.br,1.04,8.4,,0.0,0.0,,0.0,0.0,bet365,19.0,11.0,1.07,bet365,7.5,5.5,1.29,bet365,3.5,3.75,1.8,bet365,1.22,6.0,9.5,bet365,1.05,13.0,26.0,BetEsporte,1.01,11.0,40.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,8.0,12.0,6.0,4.0,2.0,8.0,,,,,,,,,,,,,4.0,5.0,17.0,13.0,22.0,29.0,11.0,14.0,2.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0.52,0.48,6.0,6.0,5.0,3.0,1.0,3.0,,,3.0,1.0,2.0,1.0,3.0,4.0,0.0,2.0,,,,,,,,,0.52,0.48,2.0,6.0,1.0,1.0,1.0,5.0,,,1.0,4.0,0.0,1.0,,,8.0,10.0,2.0,0.0,,
GnqBXaDT,PORTUGAL,2025-2026,Liga Portugal 2 2025 2026,PORTUGAL 2,09/05/2026,16:30,Round 33,Benfica B,Academico Viseu,0,2,[],"[19, 44]",bet365,4.0,2.2,2.75,bet365,3.1,3.4,2.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.88,1.93,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.73,2.0,bet365,1.67,1.29,1.33,bet365,11.0,bet365,8.0,bet365,10.0,bet365,19.0,bet365,10.0,bet365,7.0,bet365,9.0,bet365,17.0,bet365,17.0,bet365,12.0,bet365,15.0,bet365,26.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,Superbet.br,6.7,1.07,bet365,6.25,1.12,bet365,3.3,1.33,bet365,1.78,2.03,bet365,1.38,3.0,bet365,1.26,3.7,1xBet.br,1.09,7.5,Superbet.br,1.06,7.5,BetEsporte,30.0,11.0,1.01,bet365,19.0,10.0,1.08,bet365,7.0,5.0,1.33,bet365,1.67,4.0,3.75,bet365,1.25,6.0,8.5,bet365,1.06,13.0,21.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,6.0,10.0,5.0,4.0,1.0,6.0,,,,,,,,,,,,,7.0,3.0,21.0,10.0,23.0,9.0,9.0,19.0,2.0,4.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0.56,0.44,4.0,6.0,4.0,3.0,0.0,3.0,,,2.0,1.0,0.0,1.0,5.0,9.0,0.0,1.0,,,,,,,,,0.64,0.36,2.0,4.0,1.0,1.0,1.0,3.0,,,5.0,2.0,2.0,3.0,,,4.0,10.0,1.0,1.0,,
