Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
lrl2p0kn,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,30/09/2023,13:00,Round 9,Servette,Lausanne,2,1,"[54, 56]",[39],bet365,2.5,2.3,4.0,bet365,1.95,3.6,4.0,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.57,2.25,bet365,1.22,1.29,1.8,bet365,13.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,9.5,bet365,7.0,bet365,13.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,12.0,bet365,29.0,bet365,17.0,bet365,15.0,bet365,21.0,bet365,41.0,bet365,6.4,1.12,bet365,5.75,1.14,bet365,3.3,1.33,bet365,2.5,1.5,bet365,1.9,1.95,bet365,1.25,3.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,14.5,9.0,1.12,Betano.br,6.7,5.5,1.36,bet365,3.25,4.0,1.8,Betano.br,1.27,5.7,9.25,Betano.br,1.08,10.25,22.0,Betano.br,1.02,16.5,37.0,,,,,,,,,,,0.6,0.4,0.0,0.0,,,,,,,,,16.0,10.0,6.0,5.0,10.0,5.0,,,,,,,,,,,,,8.0,1.0,11.0,13.0,22.0,27.0,11.0,11.0,5.0,2.0,,,3.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,0.65,0.35,7.0,5.0,0.0,3.0,7.0,2.0,,,5.0,1.0,3.0,2.0,4.0,5.0,3.0,0.0,2.0,0.0,,,,,,,0.55,0.45,9.0,5.0,6.0,2.0,3.0,3.0,,,3.0,0.0,2.0,0.0,,,7.0,6.0,0.0,1.0,2.0,4.0
6Jr7qK4h,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,30/09/2023,13:00,Round 9,Winterthur,Lugano,2,3,"[68, 90]","[22, 70, 73]",bet365,3.1,2.3,3.1,bet365,2.6,3.6,2.6,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.62,2.25,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.53,2.38,bet365,1.5,1.29,1.5,bet365,15.0,bet365,12.0,bet365,15.0,bet365,26.0,bet365,12.0,bet365,7.0,bet365,10.0,bet365,19.0,bet365,15.0,bet365,10.0,bet365,11.0,bet365,23.0,bet365,26.0,bet365,19.0,bet365,23.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,4.8,1.18,bet365,3.9,1.24,bet365,2.5,1.5,bet365,1.5,2.5,bet365,1.24,3.9,bet365,1.18,4.8,,0.0,0.0,,0.0,0.0,Betano.br,24.0,12.5,1.05,Betano.br,11.5,7.3,1.18,Betano.br,5.2,4.5,1.53,bet365,1.5,4.75,4.75,Betano.br,1.18,7.3,11.5,Betano.br,1.06,12.5,24.0,,,,,,,,,,,0.49,0.51,0.0,0.0,,,,,,,,,16.0,13.0,6.0,8.0,10.0,5.0,,,,,,,,,,,,,6.0,2.0,12.0,9.0,18.0,16.0,11.0,17.0,3.0,5.0,,,0.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,0.48,0.52,10.0,5.0,2.0,4.0,8.0,1.0,,,5.0,2.0,1.0,1.0,7.0,10.0,0.0,1.0,3.0,2.0,,,,,,,0.5,0.5,6.0,8.0,4.0,4.0,2.0,4.0,,,1.0,0.0,2.0,4.0,,,4.0,7.0,0.0,0.0,2.0,2.0
YVDhQd4U,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,28/09/2023,15:30,Round 8,Basel,Luzern,1,1,[60],[81],bet365,3.0,2.4,3.0,bet365,2.55,3.6,2.55,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.5,1.29,1.5,bet365,17.0,bet365,13.0,bet365,15.0,bet365,26.0,bet365,13.0,bet365,7.5,bet365,10.0,bet365,17.0,bet365,15.0,bet365,10.0,bet365,11.0,bet365,21.0,bet365,26.0,bet365,17.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,4.65,1.18,bet365,3.8,1.25,bet365,2.43,1.53,bet365,1.53,2.43,bet365,1.25,3.8,bet365,1.18,4.65,,0.0,0.0,,0.0,0.0,Betano.br,23.0,12.0,1.06,Betano.br,11.0,7.2,1.19,Betano.br,4.9,4.55,1.55,bet365,1.5,4.75,4.75,Betano.br,1.19,7.2,10.75,Betano.br,1.06,12.0,22.0,,,,,,,,,,,0.45,0.55,0.0,0.0,,,,,,,,,13.0,11.0,3.0,3.0,10.0,8.0,,,,,,,,,,,,,4.0,7.0,9.0,8.0,21.0,34.0,6.0,8.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.45,0.55,8.0,5.0,1.0,1.0,7.0,4.0,,,4.0,3.0,1.0,0.0,5.0,3.0,2.0,0.0,1.0,1.0,,,,,,,0.45,0.55,5.0,6.0,2.0,2.0,3.0,4.0,,,0.0,4.0,0.0,1.0,,,1.0,5.0,0.0,1.0,1.0,1.0
Aikbotzt,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,28/09/2023,15:30,Round 8,Lausanne Ouchy,Yverdon,1,1,[81],[47],bet365,2.75,2.3,3.5,bet365,2.15,3.75,3.1,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.7,2.1,bet365,2.75,1.4,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.36,1.25,1.67,bet365,15.0,bet365,12.0,bet365,17.0,bet365,34.0,bet365,10.0,bet365,7.5,bet365,11.0,bet365,21.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.0,1.23,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.4,2.85,bet365,1.16,5.25,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,Betano.br,18.5,10.5,1.09,Betano.br,8.5,6.3,1.26,bet365,4.0,4.33,1.67,Betano.br,1.4,5.0,6.6,Betano.br,1.13,8.5,15.5,Betano.br,1.03,14.0,32.0,,,,,,,,,,,0.58,0.42,0.0,0.0,,,,,,,,,17.0,9.0,3.0,1.0,14.0,8.0,,,,,,,,,,,,,9.0,3.0,18.0,13.0,24.0,15.0,13.0,17.0,4.0,5.0,,,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,0.61,0.39,7.0,7.0,2.0,0.0,5.0,7.0,,,4.0,3.0,2.0,3.0,7.0,9.0,0.0,0.0,0.0,2.0,,,,,,,0.55,0.45,10.0,2.0,1.0,1.0,9.0,1.0,,,5.0,0.0,2.0,2.0,,,6.0,8.0,1.0,0.0,0.0,0.0
0tMuTbKB,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,27/09/2023,15:30,Round 8,Lugano,Lausanne,2,1,"[34, 73]",[48],bet365,2.75,2.3,3.5,bet365,2.15,3.6,3.1,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.18,4.5,bet365,1.65,2.2,bet365,2.5,1.5,bet365,4.5,1.18,bet365,1.53,2.38,bet365,1.36,1.29,1.67,bet365,15.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,10.0,bet365,7.0,bet365,12.0,bet365,23.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,4.0,1.23,bet365,3.3,1.33,bet365,2.2,1.65,bet365,1.38,3.0,bet365,1.16,5.25,bet365,1.13,6.0,,0.0,0.0,,0.0,0.0,Betano.br,19.0,10.75,1.08,Betano.br,9.0,6.3,1.25,bet365,4.0,4.33,1.67,Betano.br,1.4,4.9,6.6,Betano.br,1.13,8.5,15.5,Betano.br,1.03,14.5,30.0,,,,,,,,,,,0.54,0.46,0.0,0.0,,,,,,,,,11.0,10.0,5.0,1.0,6.0,9.0,,,,,,,,,,,,,2.0,4.0,11.0,12.0,30.0,14.0,11.0,11.0,0.0,3.0,,,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,0.52,0.48,3.0,3.0,3.0,0.0,0.0,3.0,,,2.0,1.0,0.0,2.0,5.0,8.0,0.0,0.0,0.0,2.0,,,,,,,0.56,0.44,8.0,7.0,2.0,1.0,6.0,6.0,,,0.0,3.0,0.0,1.0,,,6.0,3.0,1.0,0.0,0.0,1.0
vXKqSIZH,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,27/09/2023,15:30,Round 8,Servette,Winterthur,2,2,"[54, 82]","[45, 89]",bet365,2.05,2.5,5.0,bet365,1.55,4.5,5.25,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.67,2.1,bet365,1.17,1.18,2.38,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,9.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,8.5,bet365,8.5,bet365,15.0,bet365,41.0,bet365,12.0,bet365,12.0,bet365,21.0,bet365,41.0,bet365,4.25,1.21,bet365,3.55,1.28,bet365,2.38,1.55,bet365,1.88,1.98,bet365,1.53,2.43,bet365,1.16,5.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.0,7.5,1.19,Betano.br,4.9,4.85,1.52,bet365,2.38,3.75,2.38,Betano.br,1.2,6.7,11.75,Betano.br,1.05,12.0,27.0,Betano.br,1.02,17.0,37.0,,,,,,,,,,,0.51,0.49,0.0,0.0,,,,,,,,,23.0,12.0,9.0,5.0,14.0,7.0,,,,,,,,,,,,,9.0,2.0,16.0,15.0,17.0,14.0,15.0,16.0,3.0,3.0,,,1.0,1.0,3.0,7.0,,,,,,,,,,,,,,,,,,,0.51,0.49,9.0,7.0,3.0,4.0,6.0,3.0,,,3.0,1.0,0.0,1.0,8.0,6.0,1.0,1.0,3.0,3.0,,,,,,,0.51,0.49,14.0,5.0,6.0,1.0,8.0,4.0,,,6.0,1.0,3.0,2.0,,,7.0,10.0,0.0,0.0,0.0,4.0
MeAlRxkO,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,27/09/2023,15:30,Round 8,St. Gallen,Young Boys,2,1,"[72, 75]",[69],bet365,2.88,2.4,3.25,bet365,2.3,3.6,2.9,bet365,1.29,3.5,bet365,2.25,1.57,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.0,1.22,bet365,1.5,2.5,bet365,1.4,1.29,1.57,bet365,17.0,bet365,13.0,bet365,17.0,bet365,29.0,bet365,12.0,bet365,7.0,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,11.0,bet365,23.0,bet365,23.0,bet365,17.0,bet365,21.0,bet365,34.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.45,1.3,bet365,2.3,1.6,bet365,1.43,2.75,bet365,1.19,4.5,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,Betano.br,21.0,11.5,1.07,Betano.br,10.25,6.8,1.21,bet365,4.0,4.5,1.57,Betano.br,1.47,4.75,5.6,Betano.br,1.16,7.8,12.5,Betano.br,1.05,13.0,25.0,,,,,,,,,,,0.41,0.59,0.0,0.0,,,,,,,,,21.0,11.0,6.0,2.0,15.0,9.0,,,,,,,,,,,,,6.0,9.0,7.0,9.0,16.0,16.0,7.0,10.0,3.0,1.0,,,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,0.45,0.55,8.0,5.0,1.0,0.0,7.0,5.0,,,2.0,4.0,,,4.0,2.0,0.0,1.0,0.0,1.0,,,,,,,0.37,0.63,13.0,6.0,5.0,2.0,8.0,4.0,,,4.0,5.0,3.0,1.0,,,3.0,8.0,3.0,0.0,1.0,3.0
W6HyUv55,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,26/09/2023,15:30,Round 8,Zurich,Grasshoppers,2,1,"[37, 73]",[90],bet365,2.1,2.38,5.5,bet365,1.6,4.2,5.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.73,2.0,bet365,1.14,1.22,2.3,bet365,13.0,bet365,17.0,bet365,29.0,bet365,51.0,bet365,8.0,bet365,7.5,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,15.0,bet365,41.0,bet365,12.0,bet365,12.0,bet365,23.0,bet365,41.0,bet365,4.5,1.19,bet365,3.8,1.25,bet365,2.43,1.53,bet365,1.98,1.88,bet365,1.55,2.38,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.25,7.3,1.2,Betano.br,4.8,4.7,1.53,bet365,2.5,3.75,2.3,Betano.br,1.18,6.9,13.0,Betano.br,1.05,12.5,29.0,,0.0,0.0,0.0,,,,,,,,,,,0.51,0.49,0.0,0.0,,,,,,,,,7.0,13.0,3.0,3.0,4.0,10.0,,,,,,,,,,,,,3.0,3.0,19.0,17.0,22.0,23.0,17.0,14.0,3.0,5.0,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.61,0.39,3.0,3.0,2.0,1.0,1.0,2.0,,,2.0,0.0,2.0,2.0,9.0,8.0,0.0,1.0,1.0,1.0,,,,,,,0.41,0.59,4.0,10.0,1.0,2.0,3.0,8.0,,,1.0,3.0,1.0,3.0,,,8.0,6.0,1.0,2.0,1.0,0.0
AiTSV0zg,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,24/09/2023,11:30,Round 7,Luzern,Servette,2,0,"[7, 18]",[],bet365,2.63,2.4,3.5,bet365,2.1,3.8,3.1,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.17,5.0,bet365,1.57,2.35,bet365,2.38,1.53,bet365,4.33,1.2,bet365,1.5,2.5,bet365,1.36,1.25,1.7,bet365,17.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,11.0,bet365,7.5,bet365,12.0,bet365,21.0,bet365,12.0,bet365,9.0,bet365,12.0,bet365,26.0,bet365,21.0,bet365,15.0,bet365,21.0,bet365,34.0,,0.0,0.0,bet365,6.6,1.11,bet365,3.55,1.28,bet365,2.85,1.4,bet365,2.05,1.75,bet365,1.35,3.1,bet365,1.15,5.5,bet365,1.12,6.4,,0.0,0.0,,0.0,0.0,Betano.br,17.5,10.25,1.09,Betano.br,8.25,6.2,1.27,bet365,3.75,4.33,1.7,Betano.br,1.38,5.1,6.8,Betano.br,1.12,8.75,15.5,Betano.br,1.03,14.5,30.0,,,,,,,,,,,0.36,0.64,0.0,0.0,,,,,,,,,8.0,28.0,2.0,9.0,6.0,19.0,,,,,,,,,,,,,1.0,11.0,10.0,11.0,24.0,33.0,10.0,9.0,0.0,1.0,,,1.0,2.0,9.0,1.0,,,,,,,,,,,,,,,,,,,0.35,0.65,3.0,13.0,1.0,3.0,2.0,10.0,,,0.0,7.0,,,3.0,5.0,1.0,0.0,3.0,0.0,,,,,,,0.37,0.63,5.0,15.0,1.0,6.0,4.0,9.0,,,1.0,4.0,0.0,1.0,,,7.0,4.0,0.0,2.0,6.0,1.0
hGIXUKka,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,24/09/2023,11:30,Round 7,Young Boys,Lugano,4,1,"[19, 32, 37, 57]",[80],bet365,2.2,2.5,4.5,bet365,1.65,4.33,4.5,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.48,2.6,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.53,2.38,bet365,1.18,1.2,2.2,bet365,19.0,bet365,19.0,bet365,26.0,bet365,51.0,bet365,11.0,bet365,8.5,bet365,15.0,bet365,29.0,bet365,10.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,15.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,4.8,1.18,bet365,4.0,1.23,bet365,2.6,1.48,bet365,2.05,1.75,bet365,1.65,2.2,bet365,1.21,4.25,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,10.5,7.7,1.18,Betano.br,5.2,5.0,1.47,bet365,2.6,4.0,2.2,Betano.br,1.22,6.5,10.25,Betano.br,1.07,11.25,23.0,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,0.0,0.0,,,,,,,,,11.0,9.0,5.0,3.0,6.0,6.0,,,,,,,,,,,,,6.0,2.0,13.0,9.0,21.0,22.0,11.0,14.0,1.0,2.0,,,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.57,0.43,5.0,3.0,3.0,1.0,2.0,2.0,,,3.0,0.0,0.0,1.0,5.0,7.0,0.0,1.0,1.0,0.0,,,,,,,0.53,0.47,6.0,6.0,2.0,2.0,4.0,4.0,,,3.0,2.0,1.0,1.0,,,6.0,7.0,0.0,0.0,1.0,1.0
dlPOWtLn,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,24/09/2023,09:15,Round 7,Yverdon,Basel,3,2,"[12, 47, 80]","[27, 87]",bet365,3.75,2.38,2.5,bet365,3.5,4.0,1.95,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,17.0,bet365,1.18,4.5,bet365,1.6,2.3,bet365,2.5,1.5,bet365,4.33,1.2,bet365,1.57,2.25,bet365,1.8,1.22,1.29,bet365,17.0,bet365,10.0,bet365,11.0,bet365,17.0,bet365,13.0,bet365,8.0,bet365,9.0,bet365,15.0,bet365,21.0,bet365,12.0,bet365,13.0,bet365,21.0,bet365,41.0,bet365,23.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,6.6,1.11,bet365,5.75,1.14,bet365,3.1,1.35,bet365,1.85,2.0,bet365,1.45,2.68,bet365,1.3,3.45,bet365,1.13,6.0,bet365,1.1,7.0,Betano.br,28.0,14.5,1.04,Betano.br,15.0,8.5,1.13,Betano.br,6.6,5.1,1.38,bet365,1.8,4.0,3.25,Betano.br,1.28,6.1,8.0,Betano.br,1.1,10.25,17.0,,,,,,,,,,,0.43,0.57,0.0,0.0,,,,,,,,,15.0,12.0,7.0,5.0,8.0,7.0,,,,,,,,,,,,,7.0,5.0,20.0,13.0,14.0,14.0,15.0,20.0,5.0,2.0,,,1.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,0.52,0.48,8.0,3.0,3.0,2.0,5.0,1.0,,,3.0,1.0,2.0,2.0,7.0,10.0,1.0,0.0,1.0,2.0,,,,,,,0.34,0.66,7.0,9.0,4.0,3.0,3.0,6.0,,,4.0,4.0,3.0,0.0,,,8.0,10.0,0.0,1.0,2.0,2.0
2RPKXM5t,SWITZERLAND,2023-2024,Super League 2023 2024,SWITZERLAND 1,23/09/2023,15:30,Round 7,Grasshoppers,St. Gallen,1,1,[25],[72],bet365,4.33,2.5,2.2,bet365,4.33,4.2,1.7,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.14,5.5,bet365,1.5,2.5,bet365,2.2,1.62,bet365,3.75,1.25,bet365,1.5,2.5,bet365,2.1,1.22,1.2,bet365,19.0,bet365,11.0,bet365,11.0,bet365,15.0,bet365,19.0,bet365,8.5,bet365,8.5,bet365,12.0,bet365,26.0,bet365,15.0,bet365,12.0,bet365,19.0,bet365,41.0,bet365,29.0,bet365,29.0,bet365,34.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.25,1.21,bet365,2.2,1.65,bet365,1.73,2.08,bet365,1.45,2.68,bet365,1.22,4.15,bet365,1.17,5.0,Betano.br,35.0,16.5,1.02,Betano.br,21.0,10.75,1.08,Betano.br,9.25,6.3,1.25,bet365,2.1,4.0,2.75,Betano.br,1.45,5.1,5.3,Betano.br,1.17,8.0,11.0,,,,,,,,,,,0.4,0.6,0.0,0.0,,,,,,,,,6.0,14.0,2.0,4.0,4.0,10.0,,,,,,,,,,,,,4.0,5.0,20.0,13.0,29.0,22.0,10.0,17.0,2.0,1.0,,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,0.41,0.59,2.0,5.0,2.0,2.0,0.0,3.0,,,2.0,0.0,1.0,0.0,4.0,8.0,1.0,2.0,2.0,1.0,,,,,,,0.39,0.61,4.0,9.0,0.0,2.0,4.0,7.0,,,2.0,5.0,1.0,1.0,,,6.0,9.0,0.0,0.0,1.0,0.0
